question,document
What is the correct way to write the GCS upload step in Kestra without using fake bucket/name fields?,93a3e8b98c
"For BigQuery loading in Kestra, why is destinationTable used instead of separate projectId, dataset, and table fields?",93a3e8b98c
What's the best way to avoid bad Kestra YAML from an AI assistant and make sure it actually works?,93a3e8b98c
Why do we bother tracking token usage in Kestra flows?,a4adc70f41
How does token counting help with LLM cost control in scheduled workflows?,a4adc70f41
Can token stats be used to improve prompts and reduce output size?,a4adc70f41
What’s the point of setting alerts for token usage in a looping AI task?,a4adc70f41
How can Kestra pull token usage from an LLM response and show it in logs or dashboards?,a4adc70f41
Why am I getting a Docker Desktop error that says a path under /tmp is not shared from the host when I start Kestra?,dd8b4c9fda
How can I let Docker access /tmp or /tmp/kestra-wd so the container can mount it?,dd8b4c9fda
What should I do in Docker Desktop if I see 'mounts denied' for a path Kestra is trying to use?,dd8b4c9fda
Where do I add /tmp in Docker Desktop so docker compose up works again?,dd8b4c9fda
"After fixing the shared folder setting in Docker Desktop, do I need to restart anything before rerunning Kestra?",dd8b4c9fda
"Why am I getting a 404 NOT_FOUND from Gemini in the Kestra flow, and how can I fix it?",d51bbe2da0
"If the model in the course YAML is unavailable, do I just swap the model id for another Gemini one?",d51bbe2da0
Where in the Kestra config should I change the Gemini model name when the original one stops working?,d51bbe2da0
"Is a Gemini 404 error always a sign that the model was permanently removed, or could it be temporary/account-specific?",d51bbe2da0
"After updating the Gemini model in docker-compose or the YAML, do I need to rerun the flow or restart the services?",d51bbe2da0
"For the Module 3 Kestra homework, what exactly am I supposed to upload or link in the submission form if most of the work was done in the Kestra UI?",f29f622684
"Do I need to put the Kestra flow YAML files in a GitHub repo for Module 3, or is a README with my answers enough?",f29f622684
"If I changed any scripts that my Kestra flows use, should those files be included in the homework repo too?",f29f622684
"Where should I place the Kestra homework files inside the repo, and does the repo have to be public?",f29f622684
"What goes into the submission form itself for Module 3, and what should be kept in the repo instead?",f29f622684
Why do I keep getting `JSONDecodeError: Expecting value` when I try to parse the LLM output for ground-truth questions?,a3c7e1b4f9
How can I make the model return only valid JSON instead of markdown fences or extra text?,a3c7e1b4f9
What should I add to the prompt so the response comes back as a JSON object with a `questions` list?,a3c7e1b4f9
Is there a way to force structured JSON output with OpenAI so `json.loads()` won’t fail?,a3c7e1b4f9
Do other APIs like Gemini or Groq have an option similar to JSON mode for this use case?,a3c7e1b4f9
Why does my Jupyter kernel keep crashing when I try to embed the ground-truth set in the evaluation notebook?,b8f2d6a30c
What can I do if embedding the eval dataset uses too much RAM on Codespaces or a small laptop?,b8f2d6a30c
Is there a smaller sentence-transformers model I can use instead of the default embedder for the eval part?,b8f2d6a30c
"Can I move the embedding step out of the notebook so it doesn't run out of memory, and how would I use the results back in the notebook?",b8f2d6a30c
"What’s the best way to handle the ground-truth embeddings in batches to avoid memory issues, like using del or gc.collect()?",b8f2d6a30c
Why does adding `time.sleep(4)` not fully solve Gemini rate limit errors when I’m generating a ground-truth dataset?,c1e9f4b820
"If I keep hitting quota limits while building the eval set, what’s a cheaper model/API I can switch to?",c1e9f4b820
Is there a free alternative to Gemini with better request limits for this kind of batch generation task?,c1e9f4b820
How can I reduce API failures when using a thread pool for generating answers or embeddings?,c1e9f4b820
What’s the best way to avoid losing progress if my long generation loop gets cut off by rate limits?,c1e9f4b820
Why do the lesson files in Module 4 jump from 06 to 11?,57c8d3a1e4
"Are lessons 7, 8, 9, and 10 missing in Module 4, or is there another reason for the numbering?",57c8d3a1e4
"How is Module 4 split up in the course, and what do the file numbers mean?",57c8d3a1e4
Why does `06-search-tuning.md` come right before `11-evaluation-intro.md`?,57c8d3a1e4
Should I read the Module 4 filenames as two separate sets of lessons?,57c8d3a1e4
How do I fix the Windows error that says it can’t load torch\lib\fbgemm.dll or one of its dependencies?,15e931476c
What should I install on Windows if I get OSError [WinError 126] for fbgemm.dll in PyTorch?,15e931476c
"Is Visual Studio Code enough to solve the missing fbgemm.dll problem, or do I need the full Visual Studio?",15e931476c
"Why am I seeing a PyTorch import error about fbgemm.dll on Windows 10/11, and what’s the usual fix?",15e931476c
"What are the steps to stop the ""specified module could not be found"" error when Python tries to load fbgemm.dll?",15e931476c
I'm getting `psycopg2.OperationalError` in `python prep.py` saying it can't translate host name `postgres` — what should I change in my `.env` file?,4b65d5542d
"How do I fix the `could not translate host name ""postgres"" to address` error when running the prep script?",4b65d5542d
"Why does `python prep.py` fail with `psycopg2 OperationalError` for the `postgres` host, and what host should I use instead?",4b65d5542d
My database connection breaks with a `No such host is known` message for `postgres`; is there a setting in `.env` I need to update?,4b65d5542d
What should `POSTGRES_HOST` be set to if the app can't resolve `postgres` during `prep.py`?,4b65d5542d
How do I make Pandas stop cutting off long text in a column and show the full content?,641aedbbf5
"In the offline-rag-evaluation notebook, how can I see the whole Explanation value from the judge LLM instead of just the truncated version?",641aedbbf5
What Pandas setting should I change to display the full text in a dataframe column?,641aedbbf5
"Why does Pandas only show part of my text column, and how do I set it to unlimited width?",641aedbbf5
Is there a simple way to view the complete explanation text in a Pandas table without the ... placeholder?,641aedbbf5
How can I normalize vectors stored in a Pandas DataFrame column?,5039707c1a
What's a simple way to turn each vector in a Pandas Series into a unit vector?,5039707c1a
How do I use numpy.linalg.norm to normalize values in one DataFrame column?,5039707c1a
Is there an easy apply-based approach for vector normalization in Pandas?,5039707c1a
Can I create a new column with normalized vectors from an existing Pandas column?,5039707c1a
How do I get the 75th percentile of a Pandas DataFrame column?,b4c8ac5a0c
What’s the Pandas way to calculate a 0.75 quantile for a Series?,b4c8ac5a0c
How can I find the percentile value for a column in a DataFrame using Pandas?,b4c8ac5a0c
Is there a simple function in Pandas to compute quantiles for one column?,b4c8ac5a0c
"How do I grab the 75% percentile from df[""col""]?",b4c8ac5a0c
"How do I wipe out every Docker container from the terminal, even the running ones?",66ccbb7da0
What’s the quickest command to force-remove all my Docker images?,66ccbb7da0
How can I delete all Docker volumes using a terminal command?,66ccbb7da0
Is there a simple way to clean my machine by removing all containers and images at once?,66ccbb7da0
"What terminal commands should I run if I want to fully clear Docker stuff, including volumes?",66ccbb7da0
"How can I make Streamlit let a user give feedback only once per submission, like +1 or -1?",2e729f1271
Why do my feedback buttons stay enabled when `st.session.submitted` is supposed to be False after I ask something?,2e729f1271
"In Streamlit, why does `st.session.submitted` get set back to True even after one of the feedback buttons is clicked?",2e729f1271
What’s the fix for session state getting reassigned in Streamlit when I’m trying to disable buttons after a submit?,2e729f1271
Where can I find the solution for the Streamlit session attribute issue with `st.session.submitted` and feedback buttons?,2e729f1271
Why does docker-compose say `streamlit` is not found in `$PATH` even though the app works locally?,e8df9f0d12
"What should I check first when my Streamlit app fails to start inside docker-compose with an `exec: ""streamlit""` error?",e8df9f0d12
"Do I need a Dockerfile for a Streamlit app before using docker-compose, or is compose enough?",e8df9f0d12
How can I fix the container startup error for Streamlit after changing my docker-compose setup?,e8df9f0d12
Is there a specific command I should run again after adding Streamlit to docker-compose so the container picks it up?,e8df9f0d12
"Can I do the capstone with a teammate, or does each person need to submit their own project?",0fab61eca2
"If two students work on one system, how does that count for the capstone?",0fab61eca2
"Is it okay to brainstorm or collaborate on the idea, even if the final project is individual?",0fab61eca2
What happens if our shared project can’t be graded separately for each person?,0fab61eca2
Do we need separate repos and separate project parts if we build something together?,0fab61eca2
"Do I need to submit two capstone projects, or is one enough?",d5fc98925d
What do attempt 1 and attempt 2 mean for the project submission?,d5fc98925d
"If my first submission doesn’t pass, can I fix it and send it again later?",d5fc98925d
"Can I submit two projects just for practice, and if so do they need different datasets and problems?",d5fc98925d
"If I miss the first submission deadline, can I still join in time for the second one, and does submission count without peer reviews?",d5fc98925d
"Does the competition count as the capstone project, or is it something separate?",e892d44e42
"Can I use the math-kaggle-llm-competition as my capstone, or do I still need an individual project?",e892d44e42
"If I join the competition with a team, does that replace the capstone requirement?",e892d44e42
Are we allowed to participate in the math-kaggle-llm-competition in groups even though the capstone is individual?,e892d44e42
"Is the competition considered part of the capstone, or is the capstone always done on its own?",e892d44e42
Who actually reviews the capstone project when it gets submitted?,9a2e2d2008
"Do I also need to grade other students' capstone projects, and what happens if I don't?",9a2e2d2008
How is the final grade for the capstone calculated from the peer reviews?,9a2e2d2008
What rules or criteria should the students use when scoring each project?,9a2e2d2008
Could I miss the certificate if I skip the required peer grading for the capstone?,9a2e2d2008
When do we get the projects to review after the deadline?,eae0fb50aa
How are the capstone projects assigned for grading to each participant?,eae0fb50aa
Will I review one project or multiple projects in the capstone peer grading process?,eae0fb50aa
Is there an Excel file with the project assignments for review after submission closes?,eae0fb50aa
"After the deadline, how many projects will each student be assigned to grade?",eae0fb50aa
"I already submitted my capstone project, so why don't I see any projects to review yet?",a8a7fef016
When will I get assigned projects for evaluation after the submission deadline?,a8a7fef016
"Can I pick which capstone projects I want to review, or are they assigned automatically?",a8a7fef016
Is it possible to start reviewing projects before the review list is released?,a8a7fef016
"I turned in my project already, but the review page is empty — is that normal?",a8a7fef016
Where can I look for project ideas and datasets for the capstone?,e76a70cde3
Is there a GitHub page with suggestions for datasets I can use in the project?,e76a70cde3
I need some ideas for the capstone project — where should I start checking?,e76a70cde3
"Can you point me to a page that has project ideas, datasets, and some guidelines?",e76a70cde3
What’s the best place to find tips plus a few dataset ideas for this project?,e76a70cde3
"Do I actually need Airflow, Mage, or Kestra for the capstone project, or is plain Python enough?",d4f7c08ea1
"If I build the ingestion pipeline in a Jupyter notebook instead of a script, will I still get full points?",d4f7c08ea1
"For the capstone, when would it make sense to use an orchestrator like Airflow or Kestra?",d4f7c08ea1
Can I score the ingestion pipeline criterion without using any orchestration tool at all?,d4f7c08ea1
"Should I add an orchestrator just to maximize points, or only if my project really needs it?",d4f7c08ea1
How can I measure a recommender-style RAG project when there isn’t a clear ground-truth answer?,9b0e2d6a47
What’s a good way to create evaluation data for item search if I only have item descriptions?,9b0e2d6a47
"Can I use an LLM to judge the quality of my RAG results, and how would that work?",9b0e2d6a47
"For ranking-type RAG systems, should I use hit rate, MRR, or NDCG?",9b0e2d6a47
"If more than one result could be valid, what metric makes the most sense for evaluation?",9b0e2d6a47
How should I chunk a really big corpus with long PDFs and lots of paragraphs without overthinking it from the start?,6f2a8b3d10
"Is it okay to begin with plain fixed-size chunks, and if so, what size and overlap are usually a decent starting point?",6f2a8b3d10
Would it help to have an LLM split each document into sections instead of using a simple chunking method?,6f2a8b3d10
"Should I add summaries to each chunk, and can that actually improve retrieval or just make the index bigger?",6f2a8b3d10
"For long structured docs like legal or finance PDFs, do I need something like BM25 together with dense search so exact phrases don’t get missed?",6f2a8b3d10
"In the capstone project, what does reproducibility actually mean for the reviewer?",e5d8a2c761
Do I need to put my API keys or other hosted-service credentials in the repo so someone can run my project?,e5d8a2c761
What should I include so a reviewer can rebuild the index and test the project from scratch?,e5d8a2c761
How should I handle environment variables in the project repo without exposing secret values?,e5d8a2c761
Is there a recommended way to keep the project cheap to run and make dependencies easier to reproduce?,e5d8a2c761
"Can I do the homework and capstone in JavaScript, or do you want Python only?",ea815eb858
"If I use Go or Rust for the project, what kind of README do I need to include?",ea815eb858
"Is it actually allowed to submit assignments in languages like TypeScript, Java, Scala, C#, or R?",ea815eb858
Why does the course push Python so much if other stacks are not banned?,ea815eb858
"What should I write so a reviewer can run my non-Python project on Windows, macOS, and Linux?",ea815eb858
Where can I see old LLM Zoomcamp capstone project submissions?,930286278d
Is there a page with past LLM Zoomcamp projects I can look at for ideas?,930286278d
Do you have links to previous LLM Zoomcamp project repos or examples?,930286278d
Where should I browse to check the scope and quality of earlier Zoomcamp projects?,930286278d
Can I view 2024 and 2025 LLM Zoomcamp projects somewhere online?,930286278d
"Do I need to reserve my capstone project idea before I start, or can I just begin working on it?",897a350476
"Should I announce my project topic somewhere first, or is it okay to pick something and build it right away?",897a350476
"If I’m not sure about my capstone idea, can I ask for feedback in Slack before I start?",897a350476
Are duplicate or similar capstone project ideas allowed if I implement everything myself?,897a350476
Where can I check past capstone projects to get a sense of what counts as a good project scope?,897a350476
Can I build my capstone as a Telegram bot or WhatsApp bot instead of a website?,7318a90b14
"Is a web app required for the project, or can I choose another kind of interface?",7318a90b14
"Would a CLI, Slack app, or even a notebook be acceptable for the final project?",7318a90b14
Are there any strict rules about how the project is exposed to users?,7318a90b14
"If the course doesn't cover building the interface, am I expected to figure that part out myself?",7318a90b14
What’s a good tool for pulling text out of PDFs for a RAG project?,d8b28c47a0
"If my PDFs are scanned images, what OCR option should I use to get the text?",d8b28c47a0
Is there a recommended library for converting documents to Markdown or JSON for RAG?,d8b28c47a0
"Should I use PyMuPDF, docling, or unstructured for document extraction, and how do I choose?",d8b28c47a0
"Do I need to run OCR locally, or can I use a hosted OCR API for my course project?",d8b28c47a0
"Can I use the workshop stuff in my own capstone or side project, or is it just for practice?",d850a0e7ea
"Since dlt is open-source, am I allowed to take the workshop content and use it in other projects too?",d850a0e7ea
"Would it be okay to reuse the dlt workshop materials in a different Zoomcamp project, like the MLOps one?",d850a0e7ea
Are we free to ask questions about the workshop and then apply the same code directly in our projects?,d850a0e7ea
"If I want to build something with the workshop content, is there any restriction, or can I just go ahead and use it?",d850a0e7ea
How do I initialize a new dlt project for loading data from cloud storage?,6bceeebf04
What command should I run to start a dlt filesystem-to-duckdb project?,6bceeebf04
I want to load files from cloud into DuckDB with dlt — how do I set up the project?,6bceeebf04
What’s the basic dlt init command for a filesystem source and DuckDB destination?,6bceeebf04
How can I begin a new dlt project for cloud file ingestion?,6bceeebf04
Why do I get `FileNotFoundError: Table notion_pages___homework does not exist` when I try to open the table?,0407213397
"I changed the table name to `notion_pages___homework`, but it still says it doesn't exist. What am I missing?",0407213397
"What does the `db.create_table(..., data)` message mean in this error, and how do I fix it?",0407213397
"If my pipeline is for homework, why is it still looking for the old `employee_handbook` name somewhere?",0407213397
"What should I check in my dlt pipeline settings when `db.open_table(""notion_pages___homework"")` fails?",0407213397
Why am I getting FileNotFoundError saying the notion_pages___homework table does not exist when I run main() ?,e95bfafc0e
Do I need to create the notion_pages___homework table manually before calling db.open_table ?,e95bfafc0e
Which table name should I use in line 3 if my script says the table is missing?,e95bfafc0e
"How do I fix the error about db.create_table(notion_pages___homework, data) when running the homework pipeline?",e95bfafc0e
Should the code open notion_pages___homework with db.open_table instead of some other table name?,e95bfafc0e
How can I check what tables exist in the database?,e394e6f738
Is there a way to list all db tables with dlt?,e394e6f738
Which method do I use to see the table names in the database?,e394e6f738
How do I find out the tables available in my db?,e394e6f738
What’s the simplest way to print all database table names?,e394e6f738
"Does dlt already support ClickHouse or StarRocks connectors, or are they missing for now?",cd19f122f3
Can I use dlt to load data into ClickHouse or StarRocks today?,cd19f122f3
Are there any built-in connectors in dlt for ClickHouse and StarRocks?,cd19f122f3
"If dlt doesn’t have ClickHouse or StarRocks connectors yet, is there a way to add them?",cd19f122f3
Is the lack of ClickHouse and StarRocks connectors in dlt something the community can help with?,cd19f122f3
"Why am I getting a 401 Unauthorized error when the notebook calls Notion, and how do I fix the access token issue?",0dfba07ace
What should I check if my Notion integration in the workshop notebook says it doesn’t have secret access?,0dfba07ace
"Could this Notion API error be caused by the token expiring, and how do I verify that?",0dfba07ace
Am I probably using the wrong Notion API endpoint or permissions if the search request fails with 401?,0dfba07ace
What configuration or auth steps should I re-check when Notion returns unauthorized in this data ingestion notebook?,0dfba07ace
Why does pip keep giving me requests 2.28 when my setup needs 2.32 for LanceDB?,4b30b918bc
What command can I use to install requests straight from the GitHub release zip instead of the old PyPI version?,4b30b918bc
I’m getting a 401 Client Error while working with this setup — could it mean my key is wrong or not allowed?,4b30b918bc
How do I force-install requests v2.32.3 from the source archive with pip?,4b30b918bc
Is there a way to bypass the default requests version and install the exact version LanceDB expects?,4b30b918bc
